Test name,Total connections,Duration,Conn Rate,Reply Size
4KB,1000,0.230,4348.2,483.0
4KB,1000,0.214,4663.8,483.0
4KB,1000,0.237,4220.8,483.0
4KB,1000,0.233,4282.9,483.0
4KB,1000,0.231,4335.6,483.0
4KB,1000,0.209,4792.4,483.0
4KB,1000,0.214,4681.1,483.0
4KB,1000,0.217,4606.7,483.0
4KB,1000,0.223,4476.3,483.0
4KB,1000,0.212,4720.5,483.0
4KB,1000,0.209,4775.6,483.0
4KB,1000,0.220,4546.5,483.0
4KB,1000,0.219,4556.5,483.0
4KB,1000,0.217,4614.0,483.0
4KB,1000,0.221,4519.7,483.0
4KB,1000,0.226,4423.6,483.0
4KB,1000,0.216,4634.5,483.0
4KB,1000,0.212,4707.5,483.0
4KB,1000,0.209,4792.0,483.0
4KB,1000,0.269,3716.7,483.0
4KB,1000,0.218,4589.0,483.0
4KB,1000,0.218,4587.4,483.0
4KB,1000,0.222,4496.4,483.0
4KB,1000,0.214,4670.4,483.0
4KB,1000,0.209,4781.8,483.0
4KB,1000,0.206,4855.9,483.0
4KB,1000,0.213,4696.6,483.0
4KB,1000,0.206,4855.0,483.0
4KB,1000,0.208,4807.0,483.0
4KB,1000,0.218,4587.4,483.0
4KB,1000,0.200,5006.3,483.0
4KB,1000,0.200,5008.0,483.0
4KB,1000,0.251,3979.7,483.0
4KB,1000,0.242,4136.4,483.0
4KB,1000,0.220,4547.4,483.0
4KB,1000,0.208,4805.9,483.0
4KB,1000,0.209,4785.4,483.0
4KB,1000,0.218,4582.4,483.0
4KB,1000,0.210,4755.5,483.0
4KB,1000,0.194,5156.5,483.0
4KB,1000,0.217,4618.5,483.0
4KB,1000,0.206,4853.8,483.0
4KB,1000,0.211,4745.4,483.0
4KB,1000,0.203,4937.1,483.0
4KB,1000,0.200,4996.6,483.0
4KB,1000,0.205,4879.0,483.0
4KB,1000,0.203,4917.8,483.0
4KB,1000,0.216,4620.8,483.0
4KB,1000,0.211,4732.2,483.0
4KB,1000,0.204,4910.1,483.0
4KB,1000,0.202,4959.9,483.0
4KB,1000,0.217,4614.3,483.0
4KB,1000,0.206,4863.0,483.0
4KB,1000,0.206,4857.9,483.0
4KB,1000,0.206,4858.0,483.0
4KB,1000,0.216,4635.7,483.0
4KB,1000,0.212,4720.9,483.0
4KB,1000,0.239,4188.3,483.0
4KB,1000,0.197,5081.8,483.0
4KB,1000,0.202,4960.3,483.0
4KB,1000,0.209,4778.5,483.0
4KB,1000,0.195,5122.3,483.0
4KB,1000,0.215,4652.2,483.0
4KB,1000,0.236,4234.7,483.0
4KB,1000,0.216,4631.8,483.0
4KB,1000,0.210,4764.9,483.0
4KB,1000,0.214,4664.4,483.0
4KB,1000,0.221,4525.7,483.0
4KB,1000,0.227,4396.7,483.0
4KB,1000,0.218,4594.2,483.0
4KB,1000,0.209,4792.9,483.0
4KB,1000,0.217,4598.8,483.0
4KB,1000,0.214,4683.5,483.0
4KB,1000,0.213,4696.5,483.0
4KB,1000,0.218,4580.9,483.0
4KB,1000,0.218,4592.2,483.0
4KB,1000,0.213,4685.0,483.0
4KB,1000,0.219,4574.9,483.0
4KB,1000,0.214,4670.4,483.0
4KB,1000,0.216,4621.5,483.0
4KB,1000,0.217,4611.2,483.0
4KB,1000,0.209,4776.1,483.0
4KB,1000,0.219,4557.3,483.0
4KB,1000,0.210,4763.8,483.0
4KB,1000,0.212,4719.4,483.0
4KB,1000,0.216,4631.4,483.0
4KB,1000,0.219,4567.3,483.0
4KB,1000,0.228,4391.4,483.0
4KB,1000,0.222,4511.6,483.0
4KB,1000,0.219,4566.6,483.0
4KB,1000,0.213,4703.9,483.0
4KB,1000,0.219,4572.2,483.0
4KB,1000,0.243,4121.6,483.0
4KB,1000,0.216,4630.2,483.0
4KB,1000,0.219,4573.2,483.0
4KB,1000,0.222,4509.4,483.0
4KB,1000,0.227,4398.1,483.0
4KB,1000,0.212,4712.1,483.0
4KB,1000,0.211,4747.8,483.0
4KB,1000,0.215,4654.7,483.0
4KB,1000,0.220,4544.6,483.0
4KB,1000,0.213,4695.8,483.0
4KB,1000,0.224,4469.8,483.0
4KB,1000,0.215,4644.1,483.0
4KB,1000,0.219,4567.4,483.0
4KB,1000,0.219,4573.4,483.0
4KB,1000,0.218,4583.3,483.0
4KB,1000,0.219,4573.1,483.0
4KB,1000,0.214,4676.3,483.0
4KB,1000,0.224,4459.3,483.0
4KB,1000,0.220,4537.4,483.0
