Test name,Total connections,Duration,Conn Rate,Reply Size
Large,1000,0.387,2582.8,483.0
Large,1000,0.362,2761.8,483.0
Large,1000,0.308,3249.2,483.0
Large,1000,0.309,3240.4,483.0
Large,1000,0.336,2978.3,483.0
Large,1000,0.301,3320.5,483.0
Large,1000,0.319,3133.6,483.0
Large,1000,0.295,3390.0,483.0
Large,1000,0.312,3209.3,483.0
Large,1000,0.324,3090.6,483.0
Large,1000,0.302,3308.8,483.0
Large,1000,0.284,3525.4,483.0
Large,1000,0.322,3102.5,483.0
Large,1000,0.329,3042.2,483.0
Large,1000,0.319,3138.4,483.0
Large,1000,0.313,3197.1,483.0
Large,1000,0.320,3124.3,483.0
Large,1000,0.302,3311.7,483.0
Large,1000,0.303,3302.6,483.0
Large,1000,0.299,3342.0,483.0
Large,1000,0.313,3199.7,483.0
Large,1000,0.305,3278.1,483.0
Large,1000,0.279,3582.3,483.0
Large,1000,0.314,3187.2,483.0
Large,1000,0.316,3166.6,483.0
Large,1000,0.310,3227.0,483.0
Large,1000,0.303,3301.5,483.0
Large,1000,0.310,3224.9,483.0
Large,1000,0.318,3143.2,483.0
Large,1000,0.304,3287.9,483.0
Large,1000,0.311,3215.5,483.0
Large,1000,0.281,3558.5,483.0
Large,1000,0.302,3309.5,483.0
Large,1000,0.312,3208.7,483.0
Large,1000,0.304,3284.3,483.0
Large,1000,0.324,3090.5,483.0
Large,1000,0.304,3286.0,483.0
Large,1000,0.316,3161.1,483.0
Large,1000,0.304,3290.7,483.0
Large,1000,0.282,3541.2,483.0
Large,1000,0.344,2905.9,483.0
Large,1000,0.365,2742.6,483.0
Large,1000,0.389,2569.8,483.0
Large,1000,0.370,2705.7,483.0
Large,1000,0.376,2656.4,483.0
Large,1000,0.364,2744.8,483.0
Large,1000,0.377,2651.5,483.0
Large,1000,0.403,2483.2,483.0
Large,1000,0.362,2760.3,483.0
Large,1000,0.361,2772.4,483.0
Large,1000,0.346,2890.1,483.0
Large,1000,0.315,3176.2,483.0
Large,1000,0.293,3407.3,483.0
Large,1000,0.295,3384.5,483.0
Large,1000,0.291,3433.4,483.0
Large,1000,0.298,3354.0,483.0
Large,1000,0.285,3504.0,483.0
Large,1000,0.378,2646.8,483.0
Large,1000,0.366,2730.5,483.0
Large,1000,0.368,2714.3,483.0
Large,1000,0.384,2606.1,483.0
Large,1000,0.373,2681.1,483.0
Large,1000,0.346,2888.4,483.0
Large,1000,0.365,2741.2,483.0
Large,1000,0.360,2779.6,483.0
Large,1000,0.339,2949.4,483.0
Large,1000,0.374,2676.8,483.0
Large,1000,0.359,2784.1,483.0
Large,1000,0.368,2719.6,483.0
Large,1000,0.392,2548.3,483.0
Large,1000,0.381,2624.9,483.0
Large,1000,0.368,2718.6,483.0
Large,1000,0.351,2852.1,483.0
Large,1000,0.318,3147.6,483.0
Large,1000,0.303,3301.2,483.0
Large,1000,0.301,3320.4,483.0
Large,1000,0.294,3403.5,483.0
Large,1000,0.322,3108.8,483.0
Large,1000,0.301,3320.1,483.0
Large,1000,0.306,3262.9,483.0
Large,1000,0.303,3296.3,483.0
Large,1000,0.292,3419.9,483.0
Large,1000,0.288,3476.6,483.0
Large,1000,0.296,3373.5,483.0
Large,1000,0.287,3485.4,483.0
Large,1000,0.298,3354.5,483.0
Large,1000,0.332,3010.2,483.0
Large,1000,0.336,2973.1,483.0
Large,1000,0.299,3345.9,483.0
Large,1000,0.298,3351.5,483.0
Large,1000,0.307,3255.7,483.0
Large,1000,0.299,3347.2,483.0
Large,1000,0.370,2705.8,483.0
Large,1000,0.382,2616.7,483.0
Large,1000,0.397,2519.7,483.0
Large,1000,0.364,2744.5,483.0
Large,1000,0.369,2708.1,483.0
Large,1000,0.330,3032.7,483.0
Large,1000,0.270,3707.8,483.0
Large,1000,0.284,3517.5,483.0
Large,1000,0.303,3299.7,483.0
Large,1000,0.309,3238.7,483.0
Large,1000,0.290,3452.0,483.0
