Test name,Total connections,Duration,Conn Rate,Reply Size
4KB,1000,0.168,5969.3,483.0
4KB,1000,0.167,5972.8,483.0
4KB,1000,0.165,6049.1,483.0
4KB,1000,0.164,6115.5,483.0
4KB,1000,0.172,5823.8,483.0
4KB,1000,0.179,5588.3,483.0
4KB,1000,0.162,6170.0,483.0
4KB,1000,0.164,6103.4,483.0
4KB,1000,0.166,6018.3,483.0
4KB,1000,0.171,5864.3,483.0
4KB,1000,0.164,6082.4,483.0
4KB,1000,0.190,5270.0,483.0
4KB,1000,0.166,6024.5,483.0
4KB,1000,0.173,5795.2,483.0
4KB,1000,0.165,6061.0,483.0
4KB,1000,0.187,5361.4,483.0
4KB,1000,0.181,5532.0,483.0
4KB,1000,0.166,6023.1,483.0
4KB,1000,0.168,5942.1,483.0
4KB,1000,0.173,5788.1,483.0
4KB,1000,0.171,5859.9,483.0
4KB,1000,0.163,6142.1,483.0
4KB,1000,0.167,5996.2,483.0
4KB,1000,0.161,6222.1,483.0
4KB,1000,0.166,6039.0,483.0
4KB,1000,0.169,5930.8,483.0
4KB,1000,0.157,6358.3,483.0
4KB,1000,0.162,6171.2,483.0
4KB,1000,0.185,5400.2,483.0
4KB,1000,0.159,6300.2,483.0
4KB,1000,0.181,5529.5,483.0
4KB,1000,0.155,6456.4,483.0
4KB,1000,0.153,6529.6,483.0
4KB,1000,0.180,5560.2,483.0
4KB,1000,0.182,5492.7,483.0
4KB,1000,0.162,6186.9,483.0
4KB,1000,0.158,6322.6,483.0
4KB,1000,0.165,6046.7,483.0
4KB,1000,0.157,6367.6,483.0
4KB,1000,0.161,6213.9,483.0
4KB,1000,0.164,6104.0,483.0
4KB,1000,0.163,6124.7,483.0
4KB,1000,0.171,5848.1,483.0
4KB,1000,0.195,5129.1,483.0
4KB,1000,0.154,6489.8,483.0
4KB,1000,0.179,5591.8,483.0
4KB,1000,0.160,6258.6,483.0
4KB,1000,0.159,6282.5,483.0
4KB,1000,0.178,5616.8,483.0
4KB,1000,0.192,5218.5,483.0
4KB,1000,0.155,6465.2,483.0
4KB,1000,0.155,6470.4,483.0
4KB,1000,0.158,6338.6,483.0
4KB,1000,0.182,5482.7,483.0
4KB,1000,0.164,6096.8,483.0
4KB,1000,0.157,6363.0,483.0
4KB,1000,0.159,6269.7,483.0
4KB,1000,0.164,6093.4,483.0
4KB,1000,0.157,6380.2,483.0
4KB,1000,0.162,6191.1,483.0
4KB,1000,0.171,5846.9,483.0
4KB,1000,0.161,6208.7,483.0
4KB,1000,0.179,5579.7,483.0
4KB,1000,0.171,5848.2,483.0
4KB,1000,0.180,5542.9,483.0
4KB,1000,0.160,6247.9,483.0
4KB,1000,0.163,6127.8,483.0
4KB,1000,0.157,6367.4,483.0
4KB,1000,0.165,6060.6,483.0
4KB,1000,0.167,5995.6,483.0
4KB,1000,0.163,6130.6,483.0
4KB,1000,0.172,5822.7,483.0
4KB,1000,0.174,5736.6,483.0
4KB,1000,0.160,6231.6,483.0
4KB,1000,0.156,6406.6,483.0
4KB,1000,0.167,5982.3,483.0
4KB,1000,0.174,5761.4,483.0
4KB,1000,0.167,5975.3,483.0
4KB,1000,0.163,6147.6,483.0
4KB,1000,0.148,6743.1,483.0
4KB,1000,0.161,6203.6,483.0
4KB,1000,0.159,6282.0,483.0
4KB,1000,0.157,6351.5,483.0
4KB,1000,0.150,6663.3,483.0
4KB,1000,0.164,6094.0,483.0
4KB,1000,0.165,6049.4,483.0
4KB,1000,0.162,6171.1,483.0
4KB,1000,0.154,6508.0,483.0
4KB,1000,0.193,5181.6,483.0
4KB,1000,0.160,6234.2,483.0
4KB,1000,0.166,6039.4,483.0
4KB,1000,0.155,6441.7,483.0
4KB,1000,0.154,6482.9,483.0
4KB,1000,0.169,5914.0,483.0
4KB,1000,0.156,6408.2,483.0
4KB,1000,0.186,5381.3,483.0
